"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-03-14,3708.870849609375,3829.889668118702,3673.2770794595726,3680.3958334895333,30060000
2000-03-15,3844.126953125,3844.126953125,3644.801851851852,3701.751880787037,46105000
2000-03-16,3844.126953125,3929.5519965277776,3815.6519386574073,3901.076982060185,28795000
2000-03-17,3901.077880859375,3958.0279229157163,3844.1278388030337,3943.790412401631,24080000
2000-03-20,4029.21533203125,4064.809107049194,3936.671516984596,3986.5028020097175,26365000
2000-03-21,4185.828125,4228.540656887755,3993.621731505102,4057.690529336735,44925000
2000-03-22,4413.626953125,4484.814484627016,4185.826852318549,4242.776877520161,86975000
2000-03-23,4413.626953125,4684.1395728326615,4413.626953125,4612.952041330645,64950000
2000-03-24,4840.75244140625,5068.552556295956,4399.389718807444,4499.052269071691,90260000
2000-03-27,4840.75244140625,5011.602527573529,4769.564905503216,4954.652498851103,67730000
2000-03-28,5004.48388671875,5168.215222984086,4854.9900579547475,4911.940087960082,74425000
2000-03-29,5452.9658203125,5467.203328981724,4968.89052555891,5004.484297231968,78090000
2000-03-30,5018.72216796875,5381.778665226064,5018.72216796875,5353.303645833334,74645000
2000-03-31,4769.564453125,5032.9583109841415,4733.97068854944,4840.75198227612,63855000
2000-04-03,5054.31494140625,5210.927517055458,4883.464858879842,4926.177379511444,56805000
2000-04-04,4840.75244140625,5189.571367331112,4741.089891142004,4983.1275132123155,58340000
2000-04-05,4840.75244140625,4840.75244140625,4840.75244140625,4840.75244140625,0
2000-04-06,4755.3291015625,4954.6542734842815,4755.3291015625,4883.466712083645,47235000
2000-04-07,5125.50244140625,5168.214961751302,4826.5147989908855,4883.464826117622,42355000
2000-04-10,5196.68994140625,5339.065008294093,5125.502407962329,5339.065008294093,35885000
2000-04-11,5054.31494140625,5125.502475792254,4947.533639827245,5125.502475792254,29075000
2000-04-12,4919.05810546875,5004.483137691072,4883.464342042782,4954.651868894718,35250000
2000-04-13,4919.05810546875,4919.05810546875,4919.05810546875,4919.05810546875,0
2000-04-14,4456.33935546875,4755.326979957068,4456.33935546875,4698.376956245008,62365000
2000-04-17,3929.552978515625,4093.2843526204424,3801.4153813901153,3858.3654245570083,78050000
2000-04-18,4299.72607421875,4442.101109788908,4171.588542205609,4413.626102674876,73730000
2000-04-19,4271.25146484375,4598.714077148437,4171.588930664062,4484.814038085938,60615000
